OrderID,RestaurantLat,RestaurantLon,CustomerLat,CustomerLon,OrderValue,FoodPrepTime
1,26.750941879627735,80.63329570876381,26.675342808103057,80.98434615583041,328.79835131343714,7
2,27.136978585294646,80.89016868211242,26.66547579537824,81.07361060597779,422.17293171999455,12
3,26.990435941013644,81.12852100183102,27.107190568949097,80.6803368871306,404.06437191606364,11
4,26.901101184412017,81.02720191821489,26.66719595389917,80.94990935171704,161.55996187750947,7
5,26.60453248909643,81.08072402646025,26.682206316506182,80.9116571078635,159.69978789658956,10
6,26.604516328625255,80.97432402403172,27.008796835820036,81.09963787128756,207.26974709796534,8
7,26.538916020152694,80.99843912645285,26.801325694441864,81.1523826835465,244.4298905364149,9
8,27.08033801766921,81.11142086912703,27.020396073159972,80.50875287546371,263.382232563393,9
9,26.902747057867952,80.67976096637861,26.543795325568137,80.98529434172232,371.8788867333381,11
10,26.974408627123353,80.85238597382306,26.82667269976117,80.53732177536621,122.67217286633417,9
11,26.51379161117819,80.65927079811011,26.5225211121228,80.89517823885569,113.86908169042655,7
12,27.14983960094854,81.21112096575759,26.541977646315086,80.70709556491144,256.7642251775636,14
13,27.057736569336285,81.17972272457436,27.107313093740757,80.72087915165594,378.8654768551922,9
14,26.642267204154447,80.52838730418533,26.59329439864879,80.75413012248569,177.37413718259302,11
15,26.621822728028757,81.0080141242113,26.856721857124395,80.94733056331572,356.6017925025007,9
16,26.622881021601803,81.16617878853928,26.775434053742472,80.74051597528151,203.9312551761198,9
17,26.703842302782892,80.63001424849168,26.732720028593427,81.027543316425,454.43444352540655,13
18,26.8515868091936,80.90892056599789,27.102888341610473,80.79125971761319,458.2759777066466,7
19,26.789403162490217,81.15915157426339,26.514621675839578,80.54921430422317,218.9148817125306,10
20,26.69512352393269,80.52444110458177,26.944739089737645,81.06430708658856,191.99750158529622,5
21,26.909941439463996,81.00214259241773,27.14547427092308,80.70574599370674,264.5215888264925,14
22,26.59346088663687,80.71409128530824,26.875312682919436,80.81159215331147,196.21263407205947,9
23,26.695736914518598,81.1655652606711,27.127671049562174,80.99351959591976,368.95353731668143,12
24,26.745462435006775,81.19916193651906,26.535012779121637,80.73936843314708,430.42587381931423,9
25,26.805566889425414,81.17987187216167,26.780591523779687,80.54074167242564,369.2368523644868,13
26,27.02606789413332,80.84143423599338,26.674305719944574,80.76922315384923,429.7401788997398,10
27,26.633781434046103,81.12067070871231,26.98965004653709,81.18000297953989,258.79686488298967,12
